musical_name	year	url	url_cleaned
Swing!	1999	/s/swing.htm	swing
Taboo	2003	/t/taboo.htm	taboo
Take Flight	2007	/t/takeflight.htm	takeflight
Take Me Along	1959	/t/takemealong.htm	takemealong
Tale of Two Cities, A	2008	/t/taleoftwocitiesa.htm	taleoftwocitiesa
Tarzan	2006	/t/tarzan.htm	tarzan
Tell Me On A Sunday	1985	/t/tellmeonasunday.htm	tellmeonasunday
That's What Kids Do	2009	/t/thatswhatkidsdo.htm	thatswhatkidsdo
The Thing About Men	2003	/t/thethingaboutmen.htm	thethingaboutmen
They're Playing Our Song	1979	/t/theyreplayingoursong.htm	theyreplayingoursong
Thoroughly Modern Millie	2002	/t/thoroughlymodernmillie.htm	thoroughlymodernmillie
Threepenny Opera	1954	/t/threepennyopera.htm	threepennyopera
Tick, Tick... Boom	2001	/t/ticktickboom.htm	ticktickboom
Tina	2019	/t/tina.htm	tina
Titanic	1997	/t/titanic.htm	titanic
Titanique	2022	/t/titanique.htm	titanique
Title Of Show	2006	/t/titleofshow.htm	titleofshow
Tootsie	2019	/t/tootsie.htm	tootsie
Toxic Avenger	2009	/t/toxicavengerthe.htm	toxicavengerthe
Triumph Of Love	1997	/t/triumphoflove.htm	triumphoflove
Tuck Everlasting	2016	/t/tuckeverlasting.htm	tuckeverlasting
Two Gentlemen of Verona	1971	/t/twogentlemenofverona.htm	twogentlemenofverona
Unsinkable Molly Brown	1960	/u/unsinkablemollybrownthe.htm	unsinkablemollybrownthe
Urinetown	2001	/u/urinetown.htm	urinetown
Vanities	2009	/v/vanities.htm	vanities
Very Good Eddie	1975	/v/verygoodeddie.htm	verygoodeddie
Very Potter Sequel, A	2010	/v/verypottersequela.htm	verypottersequela
Very Potter, A	2010	/v/verypottera.htm	verypottera
Victor / Victoria	1995	/v/victorvictoria.htm	victorvictoria
Waitress	2016	/w/waitress.htm	waitress
Walmartopia	2007	/w/walmartopia.htm	walmartopia
War Paint	2017	/w/warpaint.htm	warpaint
Water Babies	2014	/w/waterbabies.htm	waterbabies
We Will Rock You	2002	/w/wewillrockyou.htm	wewillrockyou
Wedding Singer	2006	/w/weddingsinger.htm	weddingsinger
West Side Story	1957	/w/westsidestory.htm	westsidestory
Where's Charley?	1948	/w/wherescharley.htm	wherescharley
White Christmas	2008	/w/whitechristmas.htm	whitechristmas
Who's Tommy	1992	/w/whostommythe.htm	whostommythe
Wicked	2003	/w/wicked.htm	wicked
Wild Party	2000	/w/wildparty.htm	wildparty
Wildcat	1960	/w/wildcat.htm	wildcat
Will Rogers Follies	1991	/w/willrogersfolliesthe.htm	willrogersfolliesthe
Wiz	1975	/w/wizthe.htm	wizthe
Wizard Of Oz	2011	/w/wizardofozthe.htm	wizardofozthe
Woman In White	2004	/w/womaninwhite.htm	womaninwhite
Women on the Verge of a Nervous Breakdown	2011	/w/womenonthevergeofanervousbreakdown.htm	womenonthevergeofanervousbreakdown
Wonderful Town	1953	/w/wonderfultown.htm	wonderfultown
Wonderland: Alice's New Musical Adventure	2011	/w/wonderlandalicesnewmusicaladventure.htm	wonderlandalicesnewmusicaladventure
Working	1978	/w/working.htm	working
Xanadu	2007	/x/xanadu.htm	xanadu
Yank!	2005	/y/yank.htm	yank
Year with Frog and Toad, A	2002	/y/yearwithfrogandtoada.htm	yearwithfrogandtoada
You're a Good Man, Charlie Brown	1999	/y/youreagoodmancharliebrown.htm	youreagoodmancharliebrown
Young Frankenstein	2007	/y/youngfrankenstein.htm	youngfrankenstein
Z, the Masked Musical of Zorro	1999	/z/zthemaskedmusicalofzorro.htm	zthemaskedmusicalofzorro
Zanna, Don't	2003	/z/zannadont.htm	zannadont
Zombie Prom	1997	/z/zombieprom.htm	zombieprom
Zorba	1983	/z/zorba.htm	zorba
Zorro	2008	/z/zorro.htm	zorro
