musical_name	year	url	url_cleaned
Chitty Chitty Bang Bang	2002	/c/chittychittybangbang.htm	chittychittybangbang
Chorus Line, A	1975	/c/choruslinea.htm	choruslinea
Christmas Carol, A	1995	/c/christmascarola.htm	christmascarola
Cinderella: Songs from the Classic Fairy Tale	1998	/c/cinderellasongsfromtheclassicfairytale.htm	cinderellasongsfromtheclassicfairytale
City Of Angels	1989	/c/cityofangels.htm	cityofangels
Civil War	1998	/c/civilwarthe.htm	civilwarthe
Civil War: The Complete Work	1999	/c/civilwarthecompleteworkthe.htm	civilwarthecompleteworkthe
Class Act, A	2001	/c/classacta.htm	classacta
Closer Than Ever	1989	/c/closerthanever.htm	closerthanever
Colma	2006	/c/colma.htm	colma
Color Purple	2005	/c/colorpurplethe.htm	colorpurplethe
Come From Away	2017	/c/comefromaway.htm	comefromaway
Commentary, The Musical	2009	/c/commentarythemusical.htm	commentarythemusical
Company	1970	/c/company.htm	company
Connecticut Yankee, A	1927	/c/connecticutyankeea.htm	connecticutyankeea
Contact	2000	/c/contact.htm	contact
Copacabana	1985	/c/copacabana.htm	copacabana
Corpse Bride	2005	/c/corpsebride.htm	corpsebride
Crazy For You	1992	/c/crazyforyou.htm	crazyforyou
Cry-Baby	2008	/c/crybaby.htm	crybaby
Curtains	2007	/c/curtains.htm	curtains
Damn Yankees	1994	/d/damnyankees.htm	damnyankees
Dance of the Vampires	2002	/d/danceofthevampires.htm	danceofthevampires
Days of Wine and Roses	2023	/d/daysofwineandroses.htm	daysofwineandroses
Dear Evan Hansen	2016	/d/dearevanhansen.htm	dearevanhansen
Dear World	1969	/d/dearworld.htm	dearworld
Death Note	2014	/d/deathnote.htm	deathnote
Dicks	2023	/d/dicks.htm	dicks
Dirty Rotten Scoundrels	2005	/d/dirtyrottenscoundrels.htm	dirtyrottenscoundrels
Disney's Beauty And The Beast	1994	/d/disneysbeautyandthebeast.htm	disneysbeautyandthebeast
Disney: 60 Years of Musical Magic	2003	/d/disney60yearsofmusicalmagic.htm	disney60yearsofmusicalmagic
Do Black Patent Leather Shoes Really Reflect Up?	1982	/d/doblackpatentleathershoesreallyreflectup.htm	doblackpatentleathershoesreallyreflectup
Do I Hear A Waltz?	1965	/d/doihearawaltz.htm	doihearawaltz
Dracula	2004	/d/dracula.htm	dracula
Dreamgirls	2006	/d/dreamgirls.htm	dreamgirls
Drowsy Chaperone	2006	/d/drowsychaperonethe.htm	drowsychaperonethe
Edges: A Song Cycle	2008	/e/edgesasongcycle.htm	edgesasongcycle
Elegies: A Song Cycle	2003	/e/elegiesasongcycle.htm	elegiesasongcycle
Ernest in Love	1960	/e/ernestinlove.htm	ernestinlove
Evil Dead	2003	/e/evildead.htm	evildead
Evita	1978	/e/evita.htm	evita
Face the Music	1932	/f/facethemusic.htm	facethemusic
Falsettoland	1990	/f/falsettoland.htm	falsettoland
Falsettos	2016	/f/falsettos.htm	falsettos
Fame	2003	/f/fame.htm	fame
Fanny	1954	/f/fanny.htm	fanny
Fantasticks	1960	/f/fantasticksthe.htm	fantasticksthe
Fiddler on the Roof	1964	/f/fiddlerontheroof.htm	fiddlerontheroof
Finding Neverland	2015	/f/findingneverland.htm	findingneverland
Finian's Rainbow	1947	/f/finiansrainbow.htm	finiansrainbow
Fiorello	1959	/f/fiorello.htm	fiorello
First Date	2013	/f/firstdate.htm	firstdate
Five Course Love	2009	/f/fivecourselove.htm	fivecourselove
Five Guys Named Moe	1992	/f/fiveguysnamedmoe.htm	fiveguysnamedmoe
Flora The Red Menace	1965	/f/floratheredmenace.htm	floratheredmenace
Flower Drum Song	1958	/f/flowerdrumsong.htm	flowerdrumsong
Floyd Collins	1996	/f/floydcollins.htm	floydcollins
Follies	1971	/f/follies.htm	follies
Footloose	1998	/f/footloose.htm	footloose
Forbidden Broadway Goes to Rehab	2008	/f/forbiddenbroadwaygoestorehab.htm	forbiddenbroadwaygoestorehab
Forbidden Broadway, Vols. 1-4	1997	/f/forbiddenbroadwayvols14.htm	forbiddenbroadwayvols14
Forever Plaid	1990	/f/foreverplaid.htm	foreverplaid
Fosse	1999	/f/fosse.htm	fosse
Frankenstein: A New Musical	2007	/f/frankensteinanewmusical.htm	frankensteinanewmusical
Frogs	2004	/f/frogsthe.htm	frogsthe
Frozen	2018	/f/frozen.htm	frozen
Full Monty	2000	/f/fullmontythe.htm	fullmontythe
Fun Home	2015	/f/funhome.htm	funhome
Funny Girl	1964	/f/funnygirl.htm	funnygirl
Funny Thing Happened On The Way To The Forum, A	1962	/f/funnythinghappenedonthewaytotheforuma.htm	funnythinghappenedonthewaytotheforuma
Gay Divorce	1932	/g/gaydivorcethe.htm	gaydivorcethe
Gentleman's Guide to Love and Murder, A	2013	/g/gentlemansguidetoloveandmurdera.htm	gentlemansguidetoloveandmurdera
Gentlemen Prefer Blondes	1949	/g/gentlemenpreferblondes.htm	gentlemenpreferblondes
George M!	1968	/g/georgem.htm	georgem
Ghost the Musical	2012	/g/ghostthemusical.htm	ghostthemusical
Gigi	1973	/g/gigi.htm	gigi
Girl From the North Country	2020	/g/girlfromthenorthcountry.htm	girlfromthenorthcountry
Glorious Ones	2007	/g/gloriousonesthe.htm	gloriousonesthe
Glory Days	2008	/g/glorydays.htm	glorydays
Godspell	1971	/g/godspell.htm	godspell
Golden Boy	1964	/g/goldenboy.htm	goldenboy
Gone Missing	2007	/g/gonemissing.htm	gonemissing
Good News	1927	/g/goodnews.htm	goodnews
Goodbye Girl	1993	/g/goodbyegirlthe.htm	goodbyegirlthe
Grand Hotel	1989	/g/grandhotel.htm	grandhotel
Grease	2007	/g/grease.htm	grease
Greetings From Yorkville	2007	/g/greetingsfromyorkville.htm	greetingsfromyorkville
Grey Gardens	2006	/g/greygardens.htm	greygardens
Grind	1985	/g/grind.htm	grind
Groundhog Day	2017	/g/groundhogday.htm	groundhogday
Gutenberg! The Musical!	2009	/g/gutenbergthemusical.htm	gutenbergthemusical
Guys and Dolls	1950	/g/guysanddolls.htm	guysanddolls
Gypsy	1959	/g/gypsy.htm	gypsy
Hadestown	2016	/h/hadestown.htm	hadestown
Hair	1967	/h/hair.htm	hair
Hairspray	2002	/h/hairspray.htm	hairspray
Hallelujah, Baby!	1967	/h/hallelujahbaby.htm	hallelujahbaby
Hamilton	2015	/h/hamilton.htm	hamilton
Happiest Girl in the World	1961	/h/happiestgirlintheworldthe.htm	happiestgirlintheworldthe
Happy Days	2007	/h/happydays.htm	happydays
Happy End	1977	/h/happyend.htm	happyend
Harmony	2023	/h/harmony.htm	harmony
Head Over Heels	2018	/h/headoverheels.htm	headoverheels
Heathers	2014	/h/heathers.htm	heathers
Hedwig And The Angry Inch	1998	/h/hedwigandtheangryinch.htm	hedwigandtheangryinch
Hello, Dolly	1964	/h/hellodolly.htm	hellodolly
Here Lies Love	2023	/h/herelieslove.htm	herelieslove
High Fidelity	2006	/h/highfidelity.htm	highfidelity
High School	2006	/h/highschool.htm	highschool
High School 2	2007	/h/highschool2.htm	highschool2
High School 3: Senior Year	2008	/h/highschool3senioryear.htm	highschool3senioryear
High School On Stage	2008	/h/highschoolonstage.htm	highschoolonstage
High Society	1998	/h/highsociety.htm	highsociety
Honk	1993	/h/honk.htm	honk
How the Grinch Stole Christmas	2006	/h/howthegrinchstolechristmas.htm	howthegrinchstolechristmas
How to Dance in Ohio	2023	/h/howtodanceinohio.htm	howtodanceinohio
How to Succeed in Business Without Really Trying	1961	/h/howtosucceedinbusinesswithoutreallytrying.htm	howtosucceedinbusinesswithoutreallytrying
I Do! I Do!	1966	/i/idoido.htm	idoido
I Love My Wife	1977	/i/ilovemywife.htm	ilovemywife
I Love You Because	2006	/i/iloveyoubecause.htm	iloveyoubecause
I Love You, You're Perfect, Now Change	1996	/i/iloveyouyoureperfectnowchange.htm	iloveyouyoureperfectnowchange
I Sing	2002	/i/ising.htm	ising
If/Then	2014	/i/ifthen.htm	ifthen
Illya Darling	1967	/i/illyadarling.htm	illyadarling
In the Heights	2007	/i/intheheights.htm	intheheights
In Trousers	1979	/i/introusers.htm	introusers
Into the Woods	1987	/i/intothewoods.htm	intothewoods
Irene	1973	/i/irene.htm	irene
It's Only Life	2006	/i/itsonlylife.htm	itsonlylife
Jacques Brel Is Alive and Well and Living in Paris	1968	/j/jacquesbrelisaliveandwellandlivinginparis.htm	jacquesbrelisaliveandwellandlivinginparis
Jagged Little Pill	2019	/j/jaggedlittlepill.htm	jaggedlittlepill
Jane Eyre	2000	/j/janeeyre.htm	janeeyre
Jekyll & Hyde	1997	/j/jekyllhyde.htm	jekyllhyde
Jelly's Last Jam	1992	/j/jellyslastjam.htm	jellyslastjam
Jennie	1963	/j/jennie.htm	jennie
Jerry Springer: the Opera	2004	/j/jerryspringertheopera.htm	jerryspringertheopera
Jersey Boys	2005	/j/jerseyboys.htm	jerseyboys
Jesus Christ Superstar	1971	/j/jesuschristsuperstar.htm	jesuschristsuperstar
Joseph And The Amazing Technicolor Dreamcoat	1982	/j/josephandtheamazingtechnicolordreamcoat.htm	josephandtheamazingtechnicolordreamcoat
Jungle Book	1967	/j/junglebook.htm	junglebook
Just So	1984	/j/justso.htm	justso
Kimberly Akimbo	2022	/k/kimberlyakimbo.htm	kimberlyakimbo
King and I	1956	/k/kingandithe.htm	kingandithe
Kinky Boots	2013	/k/kinkyboots.htm	kinkyboots
Kismet	1953	/k/kismet.htm	kismet
Kiss Me, Kate	1948	/k/kissmekate.htm	kissmekate
Kiss Of The Spider Woman	1992	/k/kissofthespiderwoman.htm	kissofthespiderwoman
Kitty's Kisses	2009	/k/kittyskisses.htm	kittyskisses
La Cage Aux Folles	1983	/l/lacageauxfolles.htm	lacageauxfolles
Last 5 Years	2002	/l/last5yearsthe.htm	last5yearsthe
Leader of the Pack	1984	/l/leaderofthepack.htm	leaderofthepack
Legally Blonde	2007	/l/legallyblonde.htm	legallyblonde
Lempicka	2024	/l/lempicka.htm	lempicka
Lennon	2005	/l/lennon.htm	lennon
Les Miserables	1987	/l/lesmiserables.htm	lesmiserables
Lestat	2006	/l/lestat.htm	lestat
Li'l Abner	1956	/l/lilabner.htm	lilabner
Light in the Piazza	2005	/l/lightinthepiazza.htm	lightinthepiazza
Likes of US	2003	/l/likesofusthe.htm	likesofusthe
Lion King	1997	/l/lionking.htm	lionking
Little Fish	2003	/l/littlefish.htm	littlefish
